ID;Количество комнат;Тип;район;Адрес;Площадь, м2;Этаж;Цена;Ремонт;Ссылка на объявление
295101402;3;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя, 135;62.57;1/8;12482277;;https://www.cian.ru/sale/flat/295101402
286808124;2;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя;74.91;5/18;12738880;;https://www.cian.ru/sale/flat/286808124
299053724;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, улица Зверева, 1;71.4;10/18;12700000;Косметический;https://www.cian.ru/sale/flat/299053724
286807923;3;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, улица Юрия Левитанского;80.2;4/18;12841932;;https://www.cian.ru/sale/flat/286807923
299085148;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, улица Семена Лагоды, 4/1;78.0;12/18;12900000;Косметический;https://www.cian.ru/sale/flat/299085148
298781452;3;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя, 133;56.99;3/8;13513013;;https://www.cian.ru/sale/flat/298781452
299355081;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, Байкальская улица, 124/2;82.06;4/11;13702000;Евроремонт;https://www.cian.ru/sale/flat/299355081
298293117;3;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, улица Юрия Левитанского;80.2;10/18;13912093;;https://www.cian.ru/sale/flat/298293117
286807789;3;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, улица Юрия Левитанского;79.94;11/18;13934168;;https://www.cian.ru/sale/flat/286807789
286041616;4;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, улица Пискунова, 150/6;115.0;2/5;14000000;Косметический;https://www.cian.ru/sale/flat/286041616
295101594;3;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя, 133;57.57;7/8;14197913;;https://www.cian.ru/sale/flat/295101594
295101484;2;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя, 133;64.08;2/8;14472019;;https://www.cian.ru/sale/flat/295101484
295101611;4;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя;79.8;1/8;16964682;;https://www.cian.ru/sale/flat/295101611
295101400;4;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя, 135;78.49;1/8;17347624;;https://www.cian.ru/sale/flat/295101400
299403978;4;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, набережная Верхняя;79.8;5/8;17725096;;https://www.cian.ru/sale/flat/299403978
294497370;3;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, Байкальская улица, 424;75.0;1/9;19500000;Евроремонт;https://www.cian.ru/sale/flat/294497370
293017042;3;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, проспект Маршала Жукова, 15/3;127.3;3/9;19900000;Евроремонт;https://www.cian.ru/sale/flat/293017042
297865294;3;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, улица Карла Либкнехта, 201;130.0;17/17;45000000;Дизайнерский;https://www.cian.ru/sale/flat/297865294
300344533;;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, Пограничный переулок, 1в;18.5;6/6;2980000;Евроремонт;https://www.cian.ru/sale/flat/300344533
298506202;1;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, Пограничный переулок, 1Ж;27.0;4/5;3250000;;https://www.cian.ru/sale/flat/298506202
295168945;2;Продажа квартиры;Октябрьский;Иркутская область, Иркутск, Дальневосточная улица, 57А;41.9;2/5;4900000;Косметический;https://www.cian.ru/sale/flat/295168945
298643437;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;36.3;3/16;5387800;;https://www.cian.ru/sale/flat/298643437
298600285;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;35.85;14/16;5420980;;https://www.cian.ru/sale/flat/298600285
298600312;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;35.85;15/16;5420980;;https://www.cian.ru/sale/flat/298600312
298600256;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;35.85;13/16;5420980;;https://www.cian.ru/sale/flat/298600256
298600235;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;35.85;12/16;5420980;;https://www.cian.ru/sale/flat/298600235
298600222;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;35.85;11/16;5420980;;https://www.cian.ru/sale/flat/298600222
298600106;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;39.94;2/16;5441150;;https://www.cian.ru/sale/flat/298600106
